Account Name,Industry,Account Source,School Name,School District,County,Account Status,Street Address,,City,Country,Created,Created By,Details
B.R.I.C.K. Avon Academy - Newark Public School District,Education,New Jersey Public Records - School Data,B.R.I.C.K. Avon Academy,Newark Public School District - Essex County,Essex,None,219 Avon Ave,,Newark,United States,1/25/19 23:55,Brandon Lipman,
B.R.I.C.K. Peshine Academy - Newark Public School District,Education,New Jersey Public Records - School Data,B.R.I.C.K. Peshine Academy,Newark Public School District - Essex County,Essex,None,433 Peshine Avenue,,Newark,United States,1/25/19 23:55,Brandon Lipman,
Bridgeton High School - Bridgeton City School District,Education,New Jersey Public Records - School Data,Bridgeton High School,Bridgeton City School District - Cumberland County,Cumberland,None,111 N West Avenue,,Bridgeton,United States,1/25/19 23:55,Brandon Lipman,
Brigantine Elementary School - Brigantine Public School District,Education,New Jersey Public Records - School Data,Brigantine Elementary School,Brigantine Public School District - Atlantic County,Atlantic,None,301 E Evans Boulevard P O Box 947,,Brigantine,United States,1/25/19 23:54,Brandon Lipman,
Brigantine North Middle School - Brigantine Public School District,Education,New Jersey Public Records - School Data,Brigantine North Middle School,Brigantine Public School District - Atlantic County,Atlantic,None,301 E Evans Boulevard P O Box 947,,Brigantine,United States,1/25/19 23:54,Brandon Lipman,
Brighton Avenue School - Atlantic City School District,Education,New Jersey Public Records - School Data,Brighton Avenue School,Atlantic City School District - Atlantic County,Atlantic,None,30 N. Brighton Avenue,,Atlantic City,United States,1/25/19 23:53,Brandon Lipman,
Broad Street Elementary School - Greenwich Township School District,Education,New Jersey Public Records - School Data,Broad Street Elementary School,Greenwich Township School District - Gloucester County,Gloucester,None,255 West Broad St,,Gibbstown,United States,1/25/19 23:56,Brandon Lipman,
Broad Street School - Bridgeton City School District,Education,New Jersey Public Records - School Data,Broad Street School,Bridgeton City School District - Cumberland County,Cumberland,None,251 West Broad Street,,Bridgeton,United States,1/25/19 23:55,Brandon Lipman,
Brookdale Avenue School - Verona Public School District,Education,New Jersey Public Records - School Data,Brookdale Avenue School,Verona Public School District - Essex County,Essex,None,14 Brookdale Court,,Verona,United States,1/25/19 23:56,Brandon Lipman,
Brookdale Elementary School - Bloomfield Township School District,Education,New Jersey Public Records - School Data,Brookdale Elementary School,Bloomfield Township School District - Essex County,Essex,None,1230 Broad Street,,Bloomfield,United States,1/25/19 23:55,Brandon Lipman,
Brookside Elementary School - Westwood Regional School District,Education,New Jersey Public Records - School Data,Brookside Elementary School,Westwood Regional School District - Bergen County,Bergen,None,20 Lake Drive,,Westwood,United States,1/25/19 23:54,Brandon Lipman,
Brookside School - Allendale Public School District,Education,New Jersey Public Records - School Data,Brookside School,Allendale Public School District - Bergen County,Bergen,None,100 Brookside Avenue,,Allendale,United States,1/25/19 23:54,Brandon Lipman,
Bruce Street School For The Deaf - Newark Public School District,Education,New Jersey Public Records - School Data,Bruce Street School For The Deaf,Newark Public School District - Essex County,Essex,None,333 Clinton Pl,,Newark,United States,1/25/19 23:55,Brandon Lipman,
Buckshutem Road School - Bridgeton City School District,Education,New Jersey Public Records - School Data,Buckshutem Road School,Bridgeton City School District - Cumberland County,Cumberland,None,550 Buckshutem Road,,Bridgeton,United States,1/25/19 23:55,Brandon Lipman,
Buena Regional High School - Buena Regional School District,Education,New Jersey Public Records - School Data,Buena Regional High School,Buena Regional School District - Atlantic County,Atlantic,None,125 Weymouth Road,,Buena,United States,1/25/19 23:54,Brandon Lipman,
Buena Regional Middle School - Buena Regional School District,Education,New Jersey Public Records - School Data,Buena Regional Middle School,Buena Regional School District - Atlantic County,Atlantic,None,175 Weymouth Rd,,Buena,United States,1/25/19 23:54,Brandon Lipman,
Bunker Hill Middle School - Washington Township School District,Education,New Jersey Public Records - School Data,Bunker Hill Middle School,Washington Township School District - Gloucester County,Gloucester,None,372 Pitman Downer Rd,,Sewell,United States,1/25/19 23:56,Brandon Lipman,
Burlington City High School - Burlington City Public School District,Education,New Jersey Public Records - School Data,Burlington City High School,Burlington City Public School District - Burlington County,Burlington,None,100 Blue Devil Way,,Burlington,United States,1/25/19 23:54,Brandon Lipman,
Burlington County Alternative High School - Burlington County Special Services School District,Education,New Jersey Public Records - School Data,Burlington County Alternative High School,Burlington County Special Services School District - Burlington County,Burlington,None,1020 Briggs Road,,Mt. Laurel,United States,1/25/19 23:54,Brandon Lipman,
Burlington County Institute Of Technology - Evening - Burlington County Institute Of Technology School District,Education,New Jersey Public Records - School Data,Burlington County Institute Of Technology - Evening,Burlington County Institute Of Technology School District - Burlington County,Burlington,None,695 Woodlane Road,,Westampton,United States,1/25/19 23:54,Brandon Lipman,
Burlington County Institute Of Technology - Medford - Burlington County Institute Of Technology School District,Education,New Jersey Public Records - School Data,Burlington County Institute Of Technology - Medford,Burlington County Institute Of Technology School District - Burlington County,Burlington,None,10 Hawkin Road,,Medford,United States,1/25/19 23:54,Brandon Lipman,
Burlington County Institute Of Technology - Westampton - Burlington County Institute Of Technology School District,Education,New Jersey Public Records - School Data,Burlington County Institute Of Technology - Westampton,Burlington County Institute Of Technology School District - Burlington County,Burlington,None,695 Woodlane Road,,Westampton,United States,1/25/19 23:54,Brandon Lipman,
Burlington Township High School - Burlington Township School District,Education,New Jersey Public Records - School Data,Burlington Township High School,Burlington Township School District - Burlington County,Burlington,None,610 Fountain Avenue,,Burlington,United States,1/25/19 23:54,Brandon Lipman,
Burlington Township Middle School At Springside - Burlington Township School District,Education,New Jersey Public Records - School Data,Burlington Township Middle School At Springside,Burlington Township School District - Burlington County,Burlington,None,1600 Burlington By Pass,,Burlington,United States,1/25/19 23:54,Brandon Lipman,
Burnet Hill Elementary School - Livingston Board Of Education School District,Education,New Jersey Public Records - School Data,Burnet Hill Elementary School,Livingston Board Of Education School District - Essex County,Essex,None,25 Byron Place,,Livingston,United States,1/25/19 23:55,Brandon Lipman,
Buzz Aldrin Middle School - Montclair Public School District,Education,New Jersey Public Records - School Data,Buzz Aldrin Middle School,Montclair Public School District - Essex County,Essex,None,173 Bellevue Ave,,Upper Montclair,United States,1/25/19 23:55,Brandon Lipman,
Califon Elementary - Califon Borough School District,Education,New Jersey Public Records - School Data,Califon Elementary,Califon Borough School District - Hunterdon County,Hunterdon,None,6 School Street,,Califon,United States,1/25/19 23:56,Brandon Lipman,
Calvin Coolidge Elementary School - Wyckoff Township Public School District,Education,New Jersey Public Records - School Data,Calvin Coolidge Elementary School,Wyckoff Township Public School District - Bergen County,Bergen,None,420 Grandview Ave,,Wyckoff,United States,1/25/19 23:54,Brandon Lipman,
Camden Big Picture Learning Academy - Camden City School District,Education,New Jersey Public Records - School Data,Camden Big Picture Learning Academy,Camden City School District - Camden County,Camden,None,1725 Park Boulevard,,Camden,United States,1/25/19 23:55,Brandon Lipman,
Camden County Technical School-Gtc - Camden County Technical School District,Education,New Jersey Public Records - School Data,Camden County Technical School-Gtc,Camden County Technical School District - Camden County,Camden,None,343 Berlin Cross Keys Road,,Sicklerville,United States,1/25/19 23:55,Brandon Lipman,
Camden County Technical School-Pennsauken - Camden County Technical School District,Education,New Jersey Public Records - School Data,Camden County Technical School-Pennsauken,Camden County Technical School District - Camden County,Camden,None,6008 Browning Road,,Pennsauken,United States,1/25/19 23:55,Brandon Lipman,
Camden High School - Camden City School District,Education,New Jersey Public Records - School Data,Camden High School,Camden City School District - Camden County,Camden,None,1875 Park Boulevard,,Camden,United States,1/25/19 23:55,Brandon Lipman,
"Camden Prep, Inc. - Camden Prep, Inc.",Education,New Jersey Public Records - School Data,"Camden Prep, Inc.","Camden Prep, Inc. - Camden County",Camden,None,1575 Mt. Ephraim Ave,,Camden,United States,1/25/19 23:55,Brandon Lipman,
Camden Street Elementary School - Newark Public School District,Education,New Jersey Public Records - School Data,Camden Street Elementary School,Newark Public School District - Essex County,Essex,None,281 Camden St,,Newark,United States,1/25/19 23:55,Brandon Lipman,
Cape May City Elementary School - Cape May City School District,Education,New Jersey Public Records - School Data,Cape May City Elementary School,Cape May City School District - Cape May County,Cape May,None,921 Lafayette St,,Cape May,United States,1/25/19 23:55,Brandon Lipman,
Cape May County High School - Cape May County Special Services School District,Education,New Jersey Public Records - School Data,Cape May County High School,Cape May County Special Services School District - Cape May County,Cape May,None,148 Crest Haven Road,,Cape May Court House,United States,1/25/19 23:55,Brandon Lipman,
Cape May County Technical Evening School - Cape May County Technical High School District,Education,New Jersey Public Records - School Data,Cape May County Technical Evening School,Cape May County Technical High School District - Cape May County,Cape May,None,188 Crest Haven Road,,Cape May Court House,United States,1/25/19 23:55,Brandon Lipman,
Cape May County Technical Evening Vo-Tech School - Cape May County Technical High School District,Education,New Jersey Public Records - School Data,Cape May County Technical Evening Vo-Tech School,Cape May County Technical High School District - Cape May County,Cape May,None,188 Crest Haven Road,,Cape May Court House,United States,1/25/19 23:55,Brandon Lipman,
Cape May County Technical High School - Cape May County Technical High School District,Education,New Jersey Public Records - School Data,Cape May County Technical High School,Cape May County Technical High School District - Cape May County,Cape May,None,188 Crest Haven Rd,,Cape May Court House,United States,1/25/19 23:55,Brandon Lipman,
Captain James Lawrence Elementary School - Burlington City Public School District,Education,New Jersey Public Records - School Data,Captain James Lawrence Elementary School,Burlington City Public School District - Burlington County,Burlington,None,315 Barclay St,,Burlington,United States,1/25/19 23:54,Brandon Lipman,
Career And Innovation Academy Of Orange - Orange Board Of Education School District,Education,New Jersey Public Records - School Data,Career And Innovation Academy Of Orange,Orange Board Of Education School District - Essex County,Essex,None,123 Cleveland Street,,Orange,United States,1/25/19 23:56,Brandon Lipman,
Carlstadt Public School - Carlstadt Publicschool District,Education,New Jersey Public Records - School Data,Carlstadt Public School,Carlstadt Publicschool District - Bergen County,Bergen,None,550 Washington Street,,Carlstadt,United States,1/25/19 23:54,Brandon Lipman,
Carl T. Mitnick School - Lower Township Elementary School District,Education,New Jersey Public Records - School Data,Carl T. Mitnick School,Lower Township Elementary School District - Cape May County,Cape May,None,905 Seashore Road,,Cape May,United States,1/25/19 23:55,Brandon Lipman,
